GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Esri Geometry API for Java,com.esri.core.geometry,OperatorImportFromWkbLocal.WkbHelper,0,25,0,0,0,6,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,Geometry.GeometryAccelerationDegree,0,21,0,0,0,4,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,GeometrySerializer.BaseGeometryData,6,0,0,0,2,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,OperatorSimplifyLocalHelper.EdgeComparerForSelfIntersection,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorDistanceLocal.DistanceCalculator,62,518,25,75,17,146,21,37,0,8
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToJson,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,LnSrlzr,85,109,9,5,16,26,7,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,GenericGeometrySerializer,12,145,4,16,4,40,4,9,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorDisjointLocal,0,10,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorContainsLocal,0,10,0,0,0,2,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorCentroid2D,2,8,0,0,1,2,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,Point3D,316,13,24,0,59,6,30,2,18,2
Esri Geometry API for Java,com.esri.core.geometry,ConvexHull.CallBackShape,0,34,0,0,0,9,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,OperatorExportToGeoJsonLocal,7,22,0,0,1,5,1,5,1,5
Esri Geometry API for Java,com.esri.core.geometry,UserCancelException,4,0,0,0,2,0,1,0,1,0
Esri Geometry API for Java,com.esri.core.geometry,TopoGraph.ClusterSweepMonikerComparator,5,101,2,8,0,20,2,7,0,4
Esri Geometry API for Java,com.esri.core.geometry,OperatorIntersection,2,8,0,0,1,3,1,2,1,2
Esri Geometry API for Java,com.esri.core.geometry,RelationalOperations.OverlapComparer,0,12,0,0,0,4,0,2,0,2
Esri Geometry API for Java,com.esri.core.geometry,Cutter,679,2285,217,253,168,572,159,89,1,12
Esri Geometry API for Java,com.esri.core.geometry,Simplificator.SimplificatorVertexComparer,0,69,0,6,0,14,0,6,0,3
Esri Geometry API for Java,com.esri.core.geometry,AttributeStreamOfInt64,1395,0,220,0,299,0,146,0,36,0
Esri Geometry API for Java,com.esri.core.geometry,AttributeStreamOfInt8,1151,325,191,35,237,78,131,24,29,13
Esri Geometry API for Java,com.esri.core.geometry,GeometryCursorAppend,4,34,0,4,1,10,1,4,1,2
Esri Geometry API for Java,com.esri.core.geometry,OperatorGeodeticArea,7,3,0,0,3,1,2,1,2,1
Esri Geometry API for Java,com.esri.core.geometry,Proximity2DResultComparator,0,21,0,4,0,6,0,4,0,2
Esri Geometry API for Java,com.esri.core.geometry,PlaneSweepCrackerHelper.QMonikerComparator,0,37,0,0,0,10,0,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,SpatialReferenceSerializer,20,32,2,2,6,12,2,3,0,3
Esri Geometry API for Java,com.esri.core.geometry,SweepComparator.SimpleEdge,0,30,0,0,0,9,0,1,0,1
Esri Geometry API for Java,com.esri.core.geometry,OperatorProximity2DLocal,73,515,15,49,19,141,15,29,0,10
Esri Geometry API for Java,com.esri.core.geometry,OperatorProximity2D,2,8,0,0,1,3,1,2,1,2
